id,label,action,adventure,animation,children,comedy,crime,documentary,drama,fantasy,filmnoir,horror,musical,mystery,romance,scifi,theater,thriller,unknown,war,western
"movie_1","Toy Story (1995)","false","false","true","true","true","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false"
"movie_3","Four Rooms (1995)","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","true","false","false","false"
"movie_7","Twelve Monkeys (1995)","false","false","false","false","false","false","false","true","false","false","false","false","false","false","true","true","false","false","false","false"
"movie_8","Babe (1995)","false","false","false","true","true","false","false","true","false","false","false","false","false","false","false","true","false","false","false","false"
"movie_9","Dead Man Walking (1995)","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","true","false","false","false","false"
"movie_11","Seven (Se7en) (1995)","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","true","true","false","false","false"
"movie_15","Mr. Holland's Opus (1995)","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","true","false","false","false","false"
"movie_24","Rumble in the Bronx (1995)","true","true","false","false","false","true","false","false","false","false","false","false","false","false","false","true","false","false","false","false"
"movie_25","Birdcage, The (1996)","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false"
"movie_28","Apollo 13 (1995)","true","false","false","false","false","false","false","true","false","false","false","false","false","false","false","true","true","false","false","false"
"movie_42","Clerks (1994)","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false"
"movie_50","Star Wars (1977)","true","true","false","false","false","false","false","false","false","false","false","false","false","true","true","true","false","false","true","false"
"movie_56","Pulp Fiction (1994)","false","false","false","false","false","true","false","true","false","false","false","false","false","false","false","true","false","false","false","false"
"movie_64","Shawshank Redemption, The (1994)","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","true","false","false","false","false"
"movie_79","Fugitive, The (1993)","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","true","false","false","false"
"movie_100","Fargo (1996)","false","false","false","false","false","true","false","true","false","false","false","false","false","false","false","true","true","false","false","false"
"movie_105","Sgt. Bilko (1996)","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false"
"movie_109","Mystery Science Theater 3000: The Movie (1996)","false","false","false","false","true","false","false","false","false","false","false","false","false","false","true","true","false","false","false","false"
"movie_111","Truth About Cats & Dogs, The (1996)","false","false","false","false","true","false","false","false","false","false","false","false","false","true","false","true","false","false","false","false"
"movie_117","Rock, The (1996)","true","true","false","false","false","false","false","false","false","false","false","false","false","false","false","true","true","false","false","false"
"movie_118","Twister (1996)","true","true","false","false","false","false","false","false","false","false","false","false","false","false","false","true","true","false","false","false"
"movie_121","Independence Day (ID4) (1996)","true","false","false","false","false","false","false","false","false","false","false","false","false","false","true","true","false","false","true","false"
"movie_123","Frighteners, The (1996)","false","false","false","false","true","false","false","false","false","false","true","false","false","false","false","true","false","false","false","false"
"movie_125","Phenomenon (1996)","false","false","false","false","false","false","false","true","false","false","false","false","false","true","false","true","false","false","false","false"
"movie_126","Spitfire Grill, The (1996)","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","true","false","false","false","false"
"movie_144","Die Hard (1988)","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","true","false","false","false"
"movie_147","Long Kiss Goodnight, The (1996)","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","true","false","false","false"
"movie_148","Ghost and the Darkness, The (1996)","true","true","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false"
"movie_151","Willy Wonka and the Chocolate Factory (1971)","false","true","false","true","true","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false"
"movie_168","Monty Python and the Holy Grail (1974)","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false"
"movie_173","Princess Bride, The (1987)","true","true","false","false","true","false","false","false","false","false","false","false","false","true","false","true","false","false","false","false"
"movie_181","Return of the Jedi (1983)","true","true","false","false","false","false","false","false","false","false","false","false","false","true","true","true","false","false","true","false"
"movie_194","Sting, The (1973)","false","false","false","false","true","true","false","false","false","false","false","false","false","false","false","true","false","false","false","false"
"movie_195","Terminator, The (1984)","true","false","false","false","false","false","false","false","false","false","false","false","false","false","true","true","true","false","false","false"
"movie_199","Bridge on the River Kwai, The (1957)","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","true","false","false","true","false"
"movie_204","Back to the Future (1985)","false","false","false","false","true","false","false","false","false","false","false","false","false","false","true","true","false","false","false","false"
"movie_220","Mirror Has Two Faces, The (1996)","false","false","false","false","true","false","false","false","false","false","false","false","false","true","false","true","false","false","false","false"
"movie_222","Star Trek: First Contact (1996)","true","true","false","false","false","false","false","false","false","false","false","false","false","false","true","true","false","false","false","false"
"movie_225","101 Dalmatians (1996)","false","false","false","true","true","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false"
"movie_237","Jerry Maguire (1996)","false","false","false","false","false","false","false","true","false","false","false","false","false","true","false","true","false","false","false","false"
"movie_240","Beavis and Butt-head Do America (1996)","false","false","true","false","true","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false"
"movie_242","Kolya (1996)","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false"
"movie_243","Jungle2Jungle (1997)","false","false","false","true","true","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false"
"movie_245","Devil's Own, The (1997)","true","false","false","false","false","false","false","true","false","false","false","false","false","false","false","true","true","false","true","false"
"movie_248","Grosse Pointe Blank (1997)","false","false","false","false","true","true","false","false","false","false","false","false","false","false","false","true","false","false","false","false"
"movie_249","Austin Powers: International Man of Mystery (1997)","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false"
"movie_250","Fifth Element, The (1997)","true","false","false","false","false","false","false","false","false","false","false","false","false","false","true","true","false","false","false","false"
"movie_252","Lost World: Jurassic Park, The (1997)","true","true","false","false","false","false","false","false","false","false","false","false","false","false","true","true","true","false","false","false"
"movie_254","Batman & Robin (1997)","true","true","false","false","false","true","false","false","false","false","false","false","false","false","false","true","false","false","false","false"
"movie_255","My Best Friend's Wedding (1997)","false","false","false","false","true","false","false","false","false","false","false","false","false","true","false","true","false","false","false","false"
"movie_257","Men in Black (1997)","true","true","false","false","true","false","false","false","false","false","false","false","false","false","true","true","false","false","false","false"
"movie_258","Contact (1997)","false","false","false","false","false","false","false","true","false","false","false","false","false","false","true","true","false","false","false","false"
"movie_259","George of the Jungle (1997)","false","false","false","true","true","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false"
"movie_260","Event Horizon (1997)","true","false","false","false","false","false","false","false","false","false","false","false","true","false","true","true","true","false","false","false"
"movie_261","Air Bud (1997)","false","false","false","true","true","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false"
"movie_262","In the Company of Men (1997)","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","true","false","false","false","false"
"movie_263","Steel (1997)","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false"
"movie_264","Mimic (1997)","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","true","true","false","false","false"
"movie_266","Kull the Conqueror (1997)","true","true","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false"
