id,label,action,adventure,animation,children,comedy,crime,documentary,drama,fantasy,filmnoir,horror,musical,mystery,romance,scifi,theater,thriller,unknown,war,western
"movie_1","Toy Story (1995)","false","false","true","true","true","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false"
"movie_2","GoldenEye (1995)","true","true","false","false","false","false","false","false","false","false","false","false","false","false","false","true","true","false","false","false"
"movie_3","Four Rooms (1995)","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","true","false","false","false"
"movie_4","Get Shorty (1995)","true","false","false","false","true","false","false","true","false","false","false","false","false","false","false","true","false","false","false","false"
"movie_5","Copycat (1995)","false","false","false","false","false","true","false","true","false","false","false","false","false","false","false","true","true","false","false","false"
"movie_6","Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","true","false","false","false","false"
"movie_7","Twelve Monkeys (1995)","false","false","false","false","false","false","false","true","false","false","false","false","false","false","true","true","false","false","false","false"
"movie_8","Babe (1995)","false","false","false","true","true","false","false","true","false","false","false","false","false","false","false","true","false","false","false","false"
"movie_9","Dead Man Walking (1995)","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","true","false","false","false","false"
"movie_10","Richard III (1995)","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","true","false","false","true","false"
"movie_11","Seven (Se7en) (1995)","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","true","true","false","false","false"
"movie_12","Usual Suspects, The (1995)","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","true","true","false","false","false"
"movie_13","Mighty Aphrodite (1995)","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false"
"movie_14","Postino, Il (1994)","false","false","false","false","false","false","false","true","false","false","false","false","false","true","false","true","false","false","false","false"
"movie_15","Mr. Holland's Opus (1995)","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","true","false","false","false","false"
"movie_16","French Twist (Gazon maudit) (1995)","false","false","false","false","true","false","false","false","false","false","false","false","false","true","false","true","false","false","false","false"
"movie_17","From Dusk Till Dawn (1996)","true","false","false","false","true","true","false","false","false","false","true","false","false","false","false","true","true","false","false","false"
"movie_18","White Balloon, The (1995)","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","true","false","false","false","false"
"movie_19","Antonia's Line (1995)","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","true","false","false","false","false"
"movie_20","Angels and Insects (1995)","false","false","false","false","false","false","false","true","false","false","false","false","false","true","false","true","false","false","false","false"
"movie_21","Muppet Treasure Island (1996)","true","true","false","false","true","false","false","false","false","false","false","true","false","false","false","true","true","false","false","false"
"movie_22","Braveheart (1995)","true","false","false","false","false","false","false","true","false","false","false","false","false","false","false","true","false","false","true","false"
"movie_23","Taxi Driver (1976)","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","true","true","false","false","false"
