source,target,label,weight,id
user_298,movie_474,4,0.8,6
user_60,movie_427,5,1.0,68
user_225,movie_480,5,1.0,83
user_271,movie_132,5,1.0,108
user_7,movie_479,4,0.8,140
user_85,movie_427,3,0.6,161
user_232,movie_483,5,1.0,211
user_123,movie_427,3,0.6,296
user_271,movie_199,4,0.8,371
user_13,movie_498,4,0.8,438
user_91,movie_480,4,0.8,475
user_308,movie_427,4,0.8,548
user_138,movie_484,4,0.8,589
user_10,movie_100,5,1.0,622
user_234,movie_318,4,0.8,707
user_7,movie_661,5,1.0,776
user_108,movie_100,4,0.8,804
user_161,movie_318,3,0.6,940
user_197,movie_511,5,1.0,971
user_90,movie_12,5,1.0,1007
user_2,movie_50,5,1.0,1053
user_312,movie_100,4,0.8,1231
user_205,movie_316,4,0.8,1305
user_10,movie_285,5,1.0,1319
user_208,movie_197,5,1.0,1341
user_197,movie_302,3,0.6,1376
user_227,movie_50,4,0.8,1377
user_65,movie_100,3,0.6,1509
user_72,movie_427,5,1.0,1532
user_318,movie_474,4,0.8,1651
user_234,movie_132,4,0.8,1784
user_185,movie_199,4,0.8,1852
user_263,movie_197,4,0.8,1877
user_232,movie_197,4,0.8,1985
user_108,movie_50,4,0.8,2064
user_158,movie_190,5,1.0,2191
user_197,movie_515,5,1.0,2255
user_91,movie_427,4,0.8,2363
user_97,movie_484,3,0.6,2402
user_131,movie_100,5,1.0,2414
user_234,movie_50,4,0.8,2499
user_234,movie_134,5,1.0,2511
user_59,movie_12,5,1.0,2523
user_97,movie_50,5,1.0,2543
user_89,movie_197,5,1.0,2611
user_82,movie_661,4,0.8,2640
user_318,movie_50,2,0.4,2699
user_14,movie_474,4,0.8,2709
user_13,movie_480,3,0.6,2841
user_90,movie_603,5,1.0,2876
user_318,movie_64,4,0.8,2973
user_326,movie_480,4,0.8,3040
user_188,movie_474,4,0.8,3083
user_312,movie_480,5,1.0,3099
user_237,movie_100,5,1.0,3293
user_271,movie_50,5,1.0,3319
user_254,movie_50,5,1.0,3455
user_329,movie_100,4,0.8,3462
user_202,movie_515,1,0.2,3491
user_271,movie_197,4,0.8,3565
user_144,movie_64,5,1.0,3581
user_158,movie_483,5,1.0,3591
user_326,movie_50,5,1.0,3670
user_328,movie_519,5,1.0,3678
user_195,movie_100,5,1.0,3821
user_13,movie_178,4,0.8,3838
user_138,movie_483,5,1.0,3857
user_91,movie_423,5,1.0,3870
user_60,movie_474,5,1.0,3898
user_296,movie_427,5,1.0,3899
user_212,movie_515,4,0.8,3945
user_59,movie_132,5,1.0,3993
user_60,movie_178,5,1.0,4010
user_321,movie_134,3,0.6,4021
user_59,movie_318,5,1.0,4048
user_48,movie_603,4,0.8,4090
user_172,movie_603,3,0.6,4102
user_10,movie_124,5,1.0,4184
user_271,movie_134,3,0.6,4315
user_7,movie_519,4,0.8,4331
user_212,movie_511,4,0.8,4527
user_13,movie_64,5,1.0,4601
user_82,movie_64,5,1.0,4605
user_138,movie_285,4,0.8,4606
user_6,movie_134,5,1.0,4628
user_312,movie_134,5,1.0,4802
user_316,movie_483,4,0.8,4914
user_138,movie_100,5,1.0,4971
user_271,movie_661,4,0.8,5045
user_161,movie_654,3,0.6,5224
user_48,movie_661,5,1.0,5231
user_90,movie_199,5,1.0,5260
user_326,movie_318,5,1.0,5266
user_144,movie_302,3,0.6,5296
user_234,movie_519,5,1.0,5314
user_90,movie_132,5,1.0,5461
user_316,movie_50,1,0.2,5463
user_232,movie_64,4,0.8,5496
user_26,movie_100,5,1.0,5499
user_72,movie_603,4,0.8,5522
user_6,movie_498,4,0.8,5634
user_234,movie_316,4,0.8,5667
user_14,movie_100,5,1.0,5669
user_158,movie_100,5,1.0,5674
user_308,movie_511,5,1.0,5689
user_106,movie_64,4,0.8,5781
user_298,movie_498,5,1.0,5817
user_72,movie_64,5,1.0,5839
user_6,movie_515,4,0.8,5860
user_123,movie_285,5,1.0,5870
user_7,movie_511,5,1.0,5881
user_13,movie_302,5,1.0,5887
user_14,movie_519,5,1.0,5891
user_7,movie_654,5,1.0,5904
user_82,movie_178,4,0.8,5905
user_144,movie_50,5,1.0,5928
user_65,movie_427,5,1.0,5930
user_169,movie_603,5,1.0,5998
user_236,movie_134,4,0.8,6023
user_321,movie_483,5,1.0,6160
user_13,movie_318,3,0.6,6165
user_72,movie_12,5,1.0,6203
user_59,movie_100,5,1.0,6297
user_318,movie_197,5,1.0,6342
user_7,movie_285,5,1.0,6358
user_87,movie_519,4,0.8,6458
user_296,movie_654,5,1.0,6493
user_48,movie_50,4,0.8,6502
user_188,movie_511,2,0.4,6514
user_48,movie_654,5,1.0,6561
user_313,movie_132,5,1.0,6588
user_113,movie_100,4,0.8,6590
user_10,movie_64,4,0.8,6625
user_141,movie_50,4,0.8,6630
user_59,movie_134,5,1.0,6646
user_343,movie_12,5,1.0,6720
user_236,movie_661,3,0.6,6732
user_7,movie_423,5,1.0,6777
user_325,movie_474,5,1.0,6840
user_308,movie_483,3,0.6,6940
user_306,movie_100,4,0.8,6999
user_65,movie_197,5,1.0,7027
user_60,movie_498,5,1.0,7074
user_328,movie_132,5,1.0,7083
user_343,movie_474,5,1.0,7139
user_144,movie_285,4,0.8,7174
user_313,movie_318,4,0.8,7186
user_88,movie_302,3,0.6,7202
user_13,movie_190,4,0.8,7345
user_72,movie_515,4,0.8,7354
user_6,movie_479,5,1.0,7380
user_343,movie_423,5,1.0,7388
user_308,movie_178,4,0.8,7417
user_85,movie_124,5,1.0,7514
user_91,movie_479,4,0.8,7540
user_65,movie_318,5,1.0,7578
user_312,movie_498,5,1.0,7602
user_312,movie_132,5,1.0,7611
user_308,movie_515,3,0.6,7637
user_137,movie_50,5,1.0,7640
user_225,movie_64,4,0.8,7643
user_85,movie_199,5,1.0,7645
user_325,movie_484,5,1.0,7716
user_185,movie_197,5,1.0,7727
user_82,movie_480,4,0.8,7792
user_326,movie_134,3,0.6,7802
user_85,movie_480,4,0.8,7851
user_90,movie_178,5,1.0,7905
user_208,movie_302,1,0.2,7924
user_72,movie_124,4,0.8,7996
user_123,movie_50,3,0.6,8006
user_14,movie_498,5,1.0,8073
user_232,movie_498,4,0.8,8102
user_329,movie_515,4,0.8,8129
user_185,movie_318,4,0.8,8345
user_234,movie_603,4,0.8,8356
user_85,movie_498,4,0.8,8369
user_326,movie_132,4,0.8,8542
user_123,movie_511,5,1.0,8586
user_329,movie_124,5,1.0,8741
user_6,movie_513,4,0.8,8745
user_234,movie_423,4,0.8,8770
user_321,movie_50,4,0.8,8819
user_328,movie_100,5,1.0,8881
user_10,movie_498,5,1.0,8890
user_90,movie_423,5,1.0,8898
user_333,movie_316,5,1.0,8927
user_312,movie_603,5,1.0,8973
user_360,movie_511,5,1.0,8998
user_85,movie_661,4,0.8,9012
user_10,movie_519,5,1.0,9195
