id,label,avg_rating,count_rating,actionchildrencomedy,action,adventure,animation,children,comedy,crime,documentary,drama,fantasy,filmnoir,horror,musical,mystery,romance,scifi,thriller,UNKNOWN,war,western
movie_318,Schindler's List (1993),4.5,80,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
movie_513,"Third Man, The (1949)",4.4545,33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
movie_483,Casablanca (1942),4.4405,84,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
movie_603,Rear Window (1954),4.4154,65,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
movie_498,"African Queen, The (1951)",4.4,60,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
movie_427,To Kill a Mockingbird (1962),4.3947,76,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
movie_178,12 Angry Men (1957),4.3659,41,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
movie_474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),4.3438,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
movie_132,"Wizard of Oz, The (1939)",4.3438,64,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
movie_134,Citizen Kane (1941),4.3382,68,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
movie_479,Vertigo (1958),4.3276,58,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
movie_190,Henry V (1989),4.3243,37,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
movie_199,"Bridge on the River Kwai, The (1957)",4.3243,74,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
movie_100,Fargo (1996),4.3179,151,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
movie_511,Lawrence of Arabia (1962),4.3099,71,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
movie_484,"Maltese Falcon, The (1941)",4.3051,59,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
movie_316,As Good As It Gets (1997),4.3043,46,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
movie_12,"Usual Suspects, The (1995)",4.3036,56,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
movie_285,Secrets & Lies (1996),4.274,73,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
movie_515,"Boot, Das (1981)",4.2727,88,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
movie_50,Star Wars (1977),4.2695,141,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
movie_64,"Shawshank Redemption, The (1994)",4.2687,67,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
movie_197,"Graduate, The (1967)",4.2619,84,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
movie_124,Lone Star (1996),4.2609,69,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
movie_302,L.A. Confidential (1997),4.24,100,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
movie_519,"Treasure of the Sierra Madre, The (1948)",4.234,47,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
movie_480,North by Northwest (1959),4.2308,65,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
movie_654,Chinatown (1974),4.2295,61,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
movie_423,E.T. the Extra-Terrestrial (1982),4.2254,71,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
movie_661,High Noon (1952),4.2245,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
