source,target,type,label,weight
"user_57","movie_304","rated",69,5,1.0000
"user_57","movie_419","rated",152,3,0.6000
"user_57","movie_79","rated",1067,5,1.0000
"user_57","movie_682","rated",1578,3,0.6000
"user_57","movie_243","rated",1824,3,0.6000
"user_57","movie_760","rated",1972,2,0.4000
"user_57","movie_28","rated",2013,4,0.8000
"user_57","movie_204","rated",2144,4,0.8000
"user_57","movie_1047","rated",2224,4,0.8000
"user_57","movie_756","rated",2256,3,0.6000
"user_57","movie_926","rated",2510,3,0.6000
"user_57","movie_831","rated",2872,1,0.2000
"user_57","movie_409","rated",2997,4,0.8000
"user_57","movie_864","rated",3610,3,0.6000
"user_57","movie_250","rated",3732,3,0.6000
"user_57","movie_744","rated",3793,5,1.0000
"user_57","movie_588","rated",4138,4,0.8000
"user_57","movie_1059","rated",4528,3,0.6000
"user_57","movie_825","rated",4529,1,0.2000
"user_57","movie_294","rated",4655,4,0.8000
"user_57","movie_252","rated",4830,2,0.4000
"user_57","movie_282","rated",5205,5,1.0000
"user_57","movie_1093","rated",5500,3,0.6000
"user_57","movie_56","rated",5632,3,0.6000
"user_57","movie_866","rated",6414,3,0.6000
"user_57","movie_410","rated",6571,3,0.6000
"user_57","movie_1028","rated",7008,3,0.6000
"user_57","movie_1094","rated",7769,2,0.4000
"user_57","movie_173","rated",7948,5,1.0000
"user_57","movie_237","rated",8198,4,0.8000
"user_57","movie_7","rated",8277,4,0.8000
"user_57","movie_248","rated",8788,5,1.0000
"user_57","movie_975","rated",9391,3,0.6000
"user_57","movie_844","rated",10398,2,0.4000
"user_57","movie_1071","rated",10932,3,0.6000
"user_57","movie_411","rated",10978,4,0.8000
"user_57","movie_151","rated",11964,3,0.6000
"user_57","movie_1011","rated",12109,3,0.6000
"user_57","movie_476","rated",12427,3,0.6000
"user_57","movie_1095","rated",12689,2,0.4000
"user_57","movie_264","rated",13150,2,0.4000
"user_57","movie_100","rated",13533,5,1.0000
"user_57","movie_281","rated",14071,4,0.8000
"user_57","movie_225","rated",14673,3,0.6000
"user_57","movie_271","rated",15069,3,0.6000
"user_57","movie_222","rated",15560,5,1.0000
"user_57","movie_597","rated",15968,3,0.6000
"user_57","movie_199","rated",15975,5,1.0000
"user_434","movie_1060","rated",16539,3,0.6000
"user_434","movie_815","rated",16926,4,0.8000
"user_57","movie_456","rated",17568,3,0.6000
"user_57","movie_932","rated",17803,3,0.6000
"user_57","movie_321","rated",18094,4,0.8000
"user_451","movie_289","rated",18300,1,0.2000
"user_451","movie_269","rated",18579,2,0.4000
"user_451","movie_323","rated",18715,4,0.8000
"user_451","movie_882","rated",18756,1,0.2000
"user_451","movie_294","rated",19362,5,1.0000
"user_451","movie_300","rated",19526,4,0.8000
"user_451","movie_872","rated",19601,2,0.4000
"user_57","movie_298","rated",19627,3,0.6000
"user_434","movie_406","rated",19877,3,0.6000
"user_451","movie_360","rated",20182,3,0.6000
"user_57","movie_111","rated",20567,4,0.8000
"user_451","movie_243","rated",21613,4,0.8000
"user_434","movie_369","rated",21743,4,0.8000
"user_451","movie_262","rated",22050,1,0.2000
"user_451","movie_322","rated",22220,4,0.8000
"user_451","movie_683","rated",22472,1,0.2000
"user_451","movie_264","rated",22623,3,0.6000
"user_451","movie_319","rated",22729,2,0.4000
"user_451","movie_1392","rated",22782,1,0.2000
"user_451","movie_331","rated",22888,5,1.0000
"user_451","movie_260","rated",22970,5,1.0000
"user_451","movie_875","rated",23026,2,0.4000
"user_434","movie_546","rated",23071,5,1.0000
"user_434","movie_121","rated",23444,4,0.8000
"user_57","movie_245","rated",23542,4,0.8000
"user_57","movie_125","rated",23687,3,0.6000
"user_434","movie_275","rated",23755,3,0.6000
"user_451","movie_457","rated",24080,2,0.4000
"user_434","movie_220","rated",24118,5,1.0000
"user_451","movie_984","rated",24171,4,0.8000
"user_451","movie_682","rated",24230,4,0.8000
"user_434","movie_125","rated",24302,5,1.0000
"user_57","movie_833","rated",24421,4,0.8000
"user_451","movie_303","rated",24945,2,0.4000
"user_451","movie_749","rated",25136,3,0.6000
"user_451","movie_1393","rated",25640,2,0.4000
"user_451","movie_270","rated",25719,4,0.8000
"user_57","movie_11","rated",25820,3,0.6000
"user_451","movie_332","rated",25936,4,0.8000
"user_57","movie_64","rated",25966,5,1.0000
