source,target,type,id,label,weight
"user_301","movie_98","rated",32,4,0.8000
"user_293","movie_5","rated",79,3,0.6000
"user_293","movie_685","rated",104,3,0.6000
"user_128","movie_485","rated",122,3,0.6000
"user_293","movie_471","rated",134,3,0.6000
"user_268","movie_231","rated",172,4,0.8000
"user_268","movie_1035","rated",184,2,0.4000
"user_293","movie_1267","rated",198,3,0.6000
"user_1","movie_61","rated",203,4,0.8000
"user_301","movie_790","rated",236,4,0.8000
"user_301","movie_401","rated",251,4,0.8000
"user_268","movie_930","rated",264,2,0.4000
"user_268","movie_2","rated",265,2,0.4000
"user_268","movie_145","rated",272,1,0.2000
"user_301","movie_56","rated",273,4,0.8000
"user_301","movie_79","rated",302,5,1.0000
"user_1","movie_189","rated",306,3,0.6000
"user_301","movie_554","rated",313,3,0.6000
"user_128","movie_204","rated",331,4,0.8000
"user_1","movie_33","rated",334,4,0.8000
"user_1","movie_160","rated",335,4,0.8000
"user_128","movie_508","rated",339,4,0.8000
"user_301","movie_227","rated",341,3,0.6000
"user_301","movie_191","rated",342,3,0.6000
"user_69","movie_256","rated",351,5,1.0000
"user_268","movie_62","rated",400,3,0.6000
"user_301","movie_604","rated",430,4,0.8000
"user_268","movie_436","rated",434,3,0.6000
"user_293","movie_135","rated",435,5,1.0000
"user_128","movie_15","rated",446,4,0.8000
"user_1","movie_20","rated",479,4,0.8000
"user_293","movie_770","rated",485,3,0.6000
"user_73","movie_480","rated",493,4,0.8000
"user_128","movie_371","rated",529,1,0.2000
"user_293","movie_249","rated",543,3,0.6000
"user_268","movie_824","rated",551,2,0.4000
"user_128","movie_603","rated",560,5,1.0000
"user_301","movie_33","rated",572,4,0.8000
"user_75","movie_284","rated",591,2,0.4000
"user_69","movie_240","rated",606,3,0.6000
"user_1","movie_202","rated",640,5,1.0000
"user_1","movie_171","rated",688,5,1.0000
"user_268","movie_147","rated",710,4,0.8000
"user_268","movie_217","rated",714,2,0.4000
"user_293","movie_423","rated",739,3,0.6000
"user_268","movie_21","rated",758,3,0.6000
"user_1","movie_265","rated",821,4,0.8000
"user_268","movie_955","rated",832,3,0.6000
"user_69","movie_268","rated",844,5,1.0000
"user_128","movie_317","rated",893,4,0.8000
"user_268","movie_583","rated",919,4,0.8000
"user_1","movie_155","rated",934,2,0.4000
"user_73","movie_206","rated",967,3,0.6000
"user_1","movie_117","rated",973,3,0.6000
"user_301","movie_523","rated",1032,4,0.8000
"user_293","movie_137","rated",1048,3,0.6000
"user_75","movie_240","rated",1050,1,0.2000
"user_293","movie_380","rated",1077,2,0.4000
"user_268","movie_298","rated",1106,3,0.6000
"user_293","movie_708","rated",1126,3,0.6000
"user_69","movie_427","rated",1135,3,0.6000
"user_128","movie_182","rated",1138,4,0.8000
"user_75","movie_237","rated",1160,2,0.4000
"user_293","movie_325","rated",1166,2,0.4000
"user_301","movie_138","rated",1167,2,0.4000
"user_1","movie_47","rated",1168,4,0.8000
"user_268","movie_386","rated",1205,2,0.4000
"user_4","movie_264","rated",1251,3,0.6000
"user_1","movie_222","rated",1300,4,0.8000
"user_268","movie_790","rated",1307,2,0.4000
"user_268","movie_580","rated",1310,3,0.6000
"user_4","movie_303","rated",1330,5,1.0000
"user_293","movie_166","rated",1338,3,0.6000
"user_1","movie_253","rated",1383,5,1.0000
"user_128","movie_739","rated",1390,4,0.8000
"user_268","movie_1041","rated",1415,1,0.2000
"user_75","movie_546","rated",1423,3,0.6000
"user_1","movie_113","rated",1441,5,1.0000
"user_293","movie_412","rated",1490,1,0.2000
"user_105","movie_268","rated",1529,4,0.8000
"user_73","movie_657","rated",1592,5,1.0000
"user_1","movie_227","rated",1618,4,0.8000
"user_31","movie_886","rated",1629,2,0.4000
"user_268","movie_364","rated",1690,3,0.6000
"user_293","movie_132","rated",1695,4,0.8000
"user_31","movie_484","rated",1704,5,1.0000
"user_301","movie_660","rated",1715,4,0.8000
"user_73","movie_94","rated",1732,1,0.2000
"user_73","movie_56","rated",1739,4,0.8000
"user_268","movie_1249","rated",1745,2,0.4000
"user_128","movie_482","rated",1749,4,0.8000
"user_293","movie_39","rated",1751,3,0.6000
"user_1","movie_17","rated",1781,3,0.6000
"user_293","movie_79","rated",1866,3,0.6000
"user_293","movie_605","rated",1923,3,0.6000
"user_268","movie_1","rated",1929,3,0.6000
"user_301","movie_202","rated",1957,5,1.0000
"user_301","movie_1228","rated",1975,4,0.8000
"user_1","movie_90","rated",1990,4,0.8000
"user_128","movie_228","rated",1995,3,0.6000
"user_268","movie_94","rated",2015,2,0.4000
"user_293","movie_496","rated",2035,5,1.0000
"user_293","movie_748","rated",2057,2,0.4000
"user_293","movie_779","rated",2066,1,0.2000
"user_73","movie_357","rated",2203,5,1.0000
"user_4","movie_361","rated",2205,5,1.0000
"user_293","movie_288","rated",2213,3,0.6000
"user_293","movie_346","rated",2248,3,0.6000
"user_268","movie_63","rated",2261,1,0.2000
"user_69","movie_300","rated",2313,3,0.6000
"user_1","movie_64","rated",2329,5,1.0000
"user_69","movie_174","rated",2340,5,1.0000
"user_268","movie_470","rated",2368,3,0.6000
"user_268","movie_52","rated",2390,3,0.6000
"user_268","movie_684","rated",2410,3,0.6000
"user_75","movie_409","rated",2473,3,0.6000
"user_268","movie_264","rated",2478,3,0.6000
"user_301","movie_174","rated",2488,5,1.0000
"user_293","movie_629","rated",2502,3,0.6000
"user_4","movie_357","rated",2527,4,0.8000
"user_293","movie_1161","rated",2578,2,0.4000
"user_75","movie_476","rated",2621,1,0.2000
"user_293","movie_665","rated",2630,2,0.4000
"user_293","movie_36","rated",2631,1,0.2000
"user_268","movie_135","rated",2658,4,0.8000
"user_128","movie_736","rated",2667,5,1.0000
"user_128","movie_418","rated",2703,4,0.8000
"user_268","movie_721","rated",2766,3,0.6000
"user_301","movie_606","rated",2768,3,0.6000
"user_268","movie_83","rated",2780,4,0.8000
"user_268","movie_672","rated",2785,2,0.4000
"user_69","movie_12","rated",2803,5,1.0000
"user_69","movie_175","rated",2863,3,0.6000
"user_268","movie_42","rated",2869,4,0.8000
"user_128","movie_140","rated",2880,4,0.8000
"user_293","movie_293","rated",2918,4,0.8000
"user_128","movie_79","rated",2920,4,0.8000
"user_31","movie_682","rated",2928,2,0.4000
"user_73","movie_588","rated",2930,2,0.4000
"user_301","movie_496","rated",2971,5,1.0000
"user_293","movie_724","rated",2986,3,0.6000
"user_128","movie_143","rated",3001,5,1.0000
"user_293","movie_167","rated",3023,3,0.6000
"user_1","movie_92","rated",3050,3,0.6000
"user_1","movie_228","rated",3060,5,1.0000
"user_75","movie_121","rated",3126,4,0.8000
"user_293","movie_729","rated",3129,2,0.4000
"user_301","movie_172","rated",3134,5,1.0000
"user_1","movie_266","rated",3172,1,0.2000
"user_1","movie_121","rated",3192,4,0.8000
"user_293","movie_931","rated",3227,1,0.2000
"user_1","movie_114","rated",3235,5,1.0000
"user_1","movie_132","rated",3247,4,0.8000
"user_1","movie_74","rated",3249,1,0.2000
"user_268","movie_68","rated",3250,4,0.8000
"user_1","movie_134","rated",3261,4,0.8000
"user_4","movie_260","rated",3278,4,0.8000
"user_301","movie_610","rated",3295,3,0.6000
"user_293","movie_1220","rated",3299,2,0.4000
"user_268","movie_250","rated",3316,4,0.8000
"user_293","movie_148","rated",3345,1,0.2000
"user_1","movie_98","rated",3359,4,0.8000
"user_268","movie_205","rated",3360,5,1.0000
"user_75","movie_1017","rated",3364,5,1.0000
"user_1","movie_186","rated",3378,4,0.8000
"user_293","movie_227","rated",3384,2,0.4000
"user_1","movie_221","rated",3432,5,1.0000
"user_268","movie_425","rated",3445,4,0.8000
"user_268","movie_374","rated",3451,2,0.4000
"user_69","movie_258","rated",3452,4,0.8000
"user_293","movie_156","rated",3477,4,0.8000
"user_301","movie_395","rated",3504,1,0.2000
"user_293","movie_484","rated",3528,5,1.0000
"user_75","movie_147","rated",3531,3,0.6000
"user_301","movie_184","rated",3559,4,0.8000
"user_301","movie_1035","rated",3603,4,0.8000
"user_293","movie_705","rated",3613,5,1.0000
"user_75","movie_496","rated",3615,5,1.0000
"user_128","movie_283","rated",3637,5,1.0000
"user_73","movie_12","rated",3671,5,1.0000
"user_268","movie_566","rated",3682,3,0.6000
"user_268","movie_121","rated",3693,2,0.4000
"user_301","movie_58","rated",3704,4,0.8000
"user_1","movie_84","rated",3711,4,0.8000
"user_73","movie_475","rated",3718,4,0.8000
"user_1","movie_31","rated",3734,3,0.6000
"user_1","movie_70","rated",3837,3,0.6000
"user_293","movie_654","rated",3862,5,1.0000
"user_301","movie_53","rated",3869,1,0.2000
"user_301","movie_384","rated",3871,5,1.0000
"user_1","movie_60","rated",3889,5,1.0000
"user_1","movie_177","rated",3910,5,1.0000
"user_268","movie_99","rated",3947,3,0.6000
"user_301","movie_25","rated",3954,3,0.6000
"user_268","movie_432","rated",3987,3,0.6000
"user_301","movie_1112","rated",3994,4,0.8000
"user_293","movie_1132","rated",4000,3,0.6000
"user_1","movie_27","rated",4002,2,0.4000
"user_128","movie_276","rated",4012,4,0.8000
"user_268","movie_540","rated",4016,1,0.2000
"user_293","movie_157","rated",4027,5,1.0000
"user_1","movie_260","rated",4071,1,0.2000
"user_31","movie_302","rated",4100,4,0.8000
"user_293","movie_195","rated",4113,3,0.6000
"user_293","movie_566","rated",4116,3,0.6000
"user_132","movie_922","rated",4147,5,1.0000
"user_301","movie_11","rated",4163,4,0.8000
"user_1","movie_145","rated",4166,2,0.4000
"user_1","movie_174","rated",4178,5,1.0000
"user_293","movie_87","rated",4199,4,0.8000
"user_1","movie_159","rated",4233,3,0.6000
"user_128","movie_111","rated",4276,3,0.6000
"user_128","movie_747","rated",4279,3,0.6000
"user_1","movie_82","rated",4281,5,1.0000
"user_128","movie_83","rated",4288,5,1.0000
"user_1","movie_56","rated",4291,4,0.8000
"user_293","movie_521","rated",4301,3,0.6000
"user_293","movie_849","rated",4302,2,0.4000
"user_1","movie_272","rated",4307,3,0.6000
"user_268","movie_823","rated",4322,2,0.4000
"user_73","movie_127","rated",4338,5,1.0000
"user_1","movie_80","rated",4412,4,0.8000
"user_293","movie_386","rated",4457,2,0.4000
"user_301","movie_515","rated",4483,3,0.6000
"user_268","movie_252","rated",4499,3,0.6000
"user_293","movie_124","rated",4503,4,0.8000
"user_69","movie_56","rated",4516,5,1.0000
"user_128","movie_660","rated",4647,2,0.4000
"user_128","movie_417","rated",4708,4,0.8000
"user_268","movie_768","rated",4726,3,0.6000
"user_293","movie_559","rated",4736,2,0.4000
"user_293","movie_216","rated",4751,4,0.8000
"user_268","movie_946","rated",4773,3,0.6000
"user_128","movie_77","rated",4816,3,0.6000
"user_293","movie_264","rated",4821,3,0.6000
"user_1","movie_229","rated",4840,4,0.8000
"user_268","movie_248","rated",4856,3,0.6000
"user_293","movie_514","rated",4870,4,0.8000
"user_1","movie_140","rated",4920,1,0.2000
"user_1","movie_225","rated",4964,2,0.4000
"user_1","movie_235","rated",4975,5,1.0000
"user_301","movie_95","rated",4977,5,1.0000
"user_268","movie_404","rated",4981,4,0.8000
"user_293","movie_647","rated",4999,5,1.0000
"user_73","movie_474","rated",5006,5,1.0000
"user_128","movie_215","rated",5019,3,0.6000
"user_293","movie_251","rated",5038,4,0.8000
"user_128","movie_1141","rated",5051,4,0.8000
"user_293","movie_461","rated",5091,2,0.4000
"user_301","movie_456","rated",5138,3,0.6000
"user_1","movie_120","rated",5142,1,0.2000
"user_73","movie_202","rated",5167,2,0.4000
"user_293","movie_194","rated",5202,4,0.8000
"user_1","movie_125","rated",5234,3,0.6000
"user_301","movie_410","rated",5236,4,0.8000
"user_1","movie_215","rated",5261,3,0.6000
"user_301","movie_9","rated",5349,3,0.6000
"user_128","movie_216","rated",5358,5,1.0000
