source,target,type,id,label,weight
"user_196","movie_242","rated",1,3,3
"user_186","movie_302","rated",2,3,3
"user_22","movie_377","rated",3,1,1
"user_244","movie_51","rated",4,2,2
"user_166","movie_346","rated",5,1,1
"user_298","movie_474","rated",6,4,4
"user_115","movie_265","rated",7,2,2
"user_253","movie_465","rated",8,5,5
"user_305","movie_451","rated",9,3,3
"user_6","movie_86","rated",10,3,3
"user_62","movie_257","rated",11,2,2
"user_286","movie_1014","rated",12,5,5
"user_200","movie_222","rated",13,5,5
"user_210","movie_40","rated",14,3,3
"user_224","movie_29","rated",15,3,3
"user_303","movie_785","rated",16,3,3
"user_122","movie_387","rated",17,5,5
"user_194","movie_274","rated",18,2,2
"user_291","movie_1042","rated",19,4,4
"user_234","movie_1184","rated",20,2,2
"user_119","movie_392","rated",21,4,4
"user_167","movie_486","rated",22,4,4
"user_299","movie_144","rated",23,4,4
"user_291","movie_118","rated",24,2,2
"user_308","movie_1","rated",25,4,4
"user_95","movie_546","rated",26,2,2
"user_38","movie_95","rated",27,5,5
"user_102","movie_768","rated",28,2,2
"user_63","movie_277","rated",29,4,4
"user_160","movie_234","rated",30,5,5
"user_50","movie_246","rated",31,3,3
"user_301","movie_98","rated",32,4,4
"user_225","movie_193","rated",33,4,4
"user_290","movie_88","rated",34,4,4
"user_97","movie_194","rated",35,3,3
"user_157","movie_274","rated",36,4,4
"user_181","movie_1081","rated",37,1,1
"user_278","movie_603","rated",38,5,5
"user_276","movie_796","rated",39,1,1
"user_7","movie_32","rated",40,4,4
"user_10","movie_16","rated",41,4,4
"user_284","movie_304","rated",42,4,4
"user_201","movie_979","rated",43,2,2
"user_276","movie_564","rated",44,3,3
"user_287","movie_327","rated",45,5,5
"user_246","movie_201","rated",46,5,5
"user_242","movie_1137","rated",47,5,5
"user_249","movie_241","rated",48,5,5
"user_99","movie_4","rated",49,5,5
"user_178","movie_332","rated",50,3,3
"user_251","movie_100","rated",51,4,4
"user_81","movie_432","rated",52,2,2
"user_260","movie_322","rated",53,4,4
"user_25","movie_181","rated",54,5,5
"user_59","movie_196","rated",55,5,5
"user_72","movie_679","rated",56,2,2
"user_87","movie_384","rated",57,4,4
"user_290","movie_143","rated",58,5,5
"user_42","movie_423","rated",59,5,5
"user_292","movie_515","rated",60,4,4
"user_115","movie_20","rated",61,3,3
"user_20","movie_288","rated",62,1,1
"user_201","movie_219","rated",63,4,4
"user_13","movie_526","rated",64,3,3
"user_246","movie_919","rated",65,4,4
"user_138","movie_26","rated",66,5,5
"user_167","movie_232","rated",67,1,1
"user_60","movie_427","rated",68,5,5
"user_57","movie_304","rated",69,5,5
"user_223","movie_274","rated",70,4,4
"user_189","movie_512","rated",71,4,4
"user_243","movie_15","rated",72,3,3
"user_92","movie_1049","rated",73,1,1
"user_246","movie_416","rated",74,3,3
"user_194","movie_165","rated",75,4,4
"user_241","movie_690","rated",76,2,2
"user_178","movie_248","rated",77,4,4
"user_254","movie_1444","rated",78,3,3
"user_293","movie_5","rated",79,3,3
"user_127","movie_229","rated",80,5,5
"user_225","movie_237","rated",81,5,5
"user_299","movie_229","rated",82,3,3
"user_225","movie_480","rated",83,5,5
"user_276","movie_54","rated",84,3,3
"user_291","movie_144","rated",85,5,5
"user_222","movie_366","rated",86,4,4
"user_267","movie_518","rated",87,5,5
"user_42","movie_403","rated",88,3,3
"user_11","movie_111","rated",89,4,4
"user_95","movie_625","rated",90,4,4
"user_8","movie_338","rated",91,4,4
"user_162","movie_25","rated",92,4,4
"user_87","movie_1016","rated",93,4,4
"user_279","movie_154","rated",94,5,5
"user_145","movie_275","rated",95,2,2
"user_119","movie_1153","rated",96,5,5
"user_62","movie_498","rated",97,4,4
"user_62","movie_382","rated",98,3,3
"user_28","movie_209","rated",99,4,4
"user_135","movie_23","rated",100,4,4
"user_32","movie_294","rated",101,3,3
"user_90","movie_382","rated",102,5,5
"user_286","movie_208","rated",103,4,4
"user_293","movie_685","rated",104,3,3
"user_216","movie_144","rated",105,4,4
"user_166","movie_328","rated",106,5,5
"user_250","movie_496","rated",107,4,4
"user_271","movie_132","rated",108,5,5
"user_160","movie_174","rated",109,5,5
"user_265","movie_118","rated",110,4,4
"user_198","movie_498","rated",111,3,3
"user_42","movie_96","rated",112,5,5
"user_168","movie_151","rated",113,5,5
"user_110","movie_307","rated",114,4,4
"user_58","movie_144","rated",115,4,4
"user_90","movie_648","rated",116,4,4
"user_271","movie_346","rated",117,4,4
"user_62","movie_21","rated",118,3,3
"user_279","movie_832","rated",119,3,3
"user_237","movie_514","rated",120,4,4
"user_94","movie_789","rated",121,4,4
"user_128","movie_485","rated",122,3,3
"user_298","movie_317","rated",123,4,4
"user_44","movie_195","rated",124,5,5
"user_264","movie_200","rated",125,5,5
"user_194","movie_385","rated",126,2,2
"user_72","movie_195","rated",127,5,5
"user_222","movie_750","rated",128,5,5
"user_250","movie_264","rated",129,3,3
"user_41","movie_265","rated",130,3,3
"user_224","movie_245","rated",131,3,3
"user_82","movie_135","rated",132,3,3
"user_262","movie_1147","rated",133,4,4
"user_293","movie_471","rated",134,3,3
"user_216","movie_658","rated",135,3,3
"user_250","movie_140","rated",136,3,3
"user_59","movie_23","rated",137,5,5
"user_286","movie_379","rated",138,5,5
"user_244","movie_815","rated",139,4,4
"user_7","movie_479","rated",140,4,4
"user_174","movie_368","rated",141,1,1
"user_87","movie_274","rated",142,4,4
"user_194","movie_1211","rated",143,2,2
"user_82","movie_1134","rated",144,2,2
"user_13","movie_836","rated",145,2,2
"user_13","movie_272","rated",146,4,4
"user_244","movie_756","rated",147,2,2
"user_305","movie_427","rated",148,5,5
"user_95","movie_787","rated",149,2,2
"user_43","movie_14","rated",150,2,2
"user_299","movie_955","rated",151,4,4
"user_57","movie_419","rated",152,3,3
"user_84","movie_405","rated",153,3,3
"user_269","movie_504","rated",154,4,4
"user_299","movie_111","rated",155,3,3
"user_194","movie_466","rated",156,4,4
"user_160","movie_135","rated",157,4,4
"user_99","movie_268","rated",158,3,3
"user_10","movie_486","rated",159,4,4
"user_259","movie_117","rated",160,4,4
"user_85","movie_427","rated",161,3,3
"user_303","movie_919","rated",162,4,4
"user_213","movie_273","rated",163,5,5
"user_121","movie_514","rated",164,3,3
"user_90","movie_98","rated",165,5,5
"user_49","movie_559","rated",166,2,2
"user_42","movie_794","rated",167,3,3
"user_155","movie_323","rated",168,2,2
"user_68","movie_117","rated",169,4,4
"user_172","movie_177","rated",170,4,4
"user_19","movie_4","rated",171,4,4
"user_268","movie_231","rated",172,4,4
"user_5","movie_2","rated",173,3,3
