id,age,gender,label
"user_1",24,"MALE","technician"
"user_2",53,"FEMALE","other"
"user_3",23,"MALE","writer"
"user_4",24,"MALE","technician"
"user_5",33,"FEMALE","other"
"user_6",42,"MALE","executive"
"user_7",57,"MALE","administrator"
"user_8",36,"MALE","administrator"
"user_9",29,"MALE","student"
"user_10",53,"MALE","lawyer"
"user_11",39,"FEMALE","other"
"user_12",28,"FEMALE","other"
"user_13",47,"MALE","educator"
"user_14",45,"MALE","scientist"
"user_15",49,"FEMALE","educator"
"user_16",21,"MALE","entertainment"
"user_17",30,"MALE","programmer"
"user_18",35,"FEMALE","other"
"user_19",40,"MALE","librarian"
"user_20",42,"FEMALE","homemaker"
"user_21",26,"MALE","writer"
"user_22",25,"MALE","writer"
"user_23",30,"FEMALE","artist"
"user_24",21,"FEMALE","artist"
"user_25",39,"MALE","engineer"
"user_26",49,"MALE","engineer"
"user_27",40,"FEMALE","librarian"
"user_28",32,"MALE","writer"
"user_29",41,"MALE","programmer"
"user_30",7,"MALE","student"
"user_31",24,"MALE","artist"
"user_32",28,"FEMALE","student"
"user_33",23,"MALE","student"
"user_34",38,"FEMALE","administrator"
"user_35",20,"FEMALE","homemaker"
"user_36",19,"FEMALE","student"
"user_37",23,"MALE","student"
"user_38",28,"FEMALE","other"
"user_39",41,"MALE","entertainment"
"user_40",38,"MALE","scientist"
"user_41",33,"MALE","engineer"
"user_42",30,"MALE","administrator"
"user_43",29,"FEMALE","librarian"
"user_44",26,"MALE","technician"
"user_45",29,"MALE","programmer"
"user_46",27,"FEMALE","marketing"
"user_47",53,"MALE","marketing"
"user_48",45,"MALE","administrator"
"user_49",23,"FEMALE","student"
"user_50",21,"MALE","writer"
"user_51",28,"MALE","educator"
"user_52",18,"FEMALE","student"
"user_53",26,"MALE","programmer"
"user_54",22,"MALE","executive"
"user_55",37,"MALE","programmer"
"user_56",25,"MALE","librarian"
"user_57",16,"MALE","none"
"user_58",27,"MALE","programmer"
"user_59",49,"MALE","educator"
"user_60",50,"MALE","healthcare"
"user_61",36,"MALE","engineer"
"user_62",27,"FEMALE","administrator"
"user_63",31,"MALE","marketing"
"user_64",32,"MALE","educator"
"user_65",51,"FEMALE","educator"
"user_66",23,"MALE","student"
"user_67",17,"MALE","student"
"user_68",19,"MALE","student"
"user_69",24,"MALE","engineer"
"user_70",27,"MALE","engineer"
"user_71",39,"MALE","scientist"
"user_72",48,"FEMALE","administrator"
"user_73",24,"MALE","student"
"user_74",39,"MALE","scientist"
"user_75",24,"MALE","entertainment"
"user_76",20,"MALE","student"
"user_77",30,"MALE","technician"
"user_78",26,"MALE","administrator"
"user_79",39,"FEMALE","administrator"
"user_80",34,"FEMALE","administrator"
"user_81",21,"MALE","student"
"user_82",50,"MALE","programmer"
"user_83",40,"MALE","other"
"user_84",32,"MALE","executive"
"user_85",51,"MALE","educator"
"user_86",26,"MALE","administrator"
"user_87",47,"MALE","administrator"
"user_88",49,"FEMALE","librarian"
"user_89",43,"FEMALE","administrator"
"user_90",60,"MALE","educator"
"user_91",55,"MALE","marketing"
"user_92",32,"MALE","entertainment"
"user_93",48,"MALE","executive"
"user_94",26,"MALE","student"
"user_95",31,"MALE","administrator"
"user_96",25,"FEMALE","artist"
"user_97",43,"MALE","artist"
"user_98",49,"FEMALE","executive"
"user_99",20,"MALE","student"
"user_100",36,"MALE","executive"
"user_101",15,"MALE","student"
"user_102",38,"MALE","programmer"
"user_103",26,"MALE","student"
"user_104",27,"MALE","student"
"user_105",24,"MALE","engineer"
"user_106",61,"MALE","retired"
"user_107",39,"MALE","scientist"
"user_108",44,"MALE","educator"
"user_109",29,"MALE","other"
"user_110",19,"MALE","student"
"user_111",57,"MALE","engineer"
"user_112",30,"MALE","salesman"
"user_113",47,"MALE","executive"
"user_114",27,"MALE","programmer"
"user_115",31,"MALE","engineer"
"user_116",40,"MALE","healthcare"
"user_117",20,"MALE","student"
"user_118",21,"MALE","administrator"
"user_119",32,"MALE","programmer"
"user_120",47,"FEMALE","other"
"user_121",54,"MALE","librarian"
"user_122",32,"FEMALE","writer"
"user_123",48,"FEMALE","artist"
"user_124",34,"MALE","student"
"user_125",30,"MALE","lawyer"
"user_126",28,"FEMALE","lawyer"
"user_127",33,"MALE","none"
"user_128",24,"FEMALE","marketing"
